"actor_id","actor_name"
"5766","Yolanda Vazquez"
"5767","Tom Conti"
"5768","Yuriy Yakovlev"
"5769","Robert Pralgo"
"5770","Zamira Saunders"
"5771","Shane Jacobson"
"5772","Natalya Varley"
"5773","William Vail"
"5774","John Milius"
"5775","Lori Cardille"
"5776","Anne Revere"
"5777","Raymond Santana"
"5778","Cristina Scaramuzza"
"5779","Bart Burns"
"5780","Devon Aoki"
"5781","Julian Morris"
"5782","Paolo Malco"
"5783","Roger Ebert"
"5784","Terry Ballard"
"5785","Stan Alexander"
"5786","Kelly Piper"
"5787","John Larroquette"
"5788","Nieve de Medina"
"5789","Patricia Wettig"
"5790","Colton James"
"5791","Robin Walsh"
"5792","Ayaka Onoue"
"5793","Greg Levine"
"5794","Lord James Blears"
"5795","Matthias Habich"
"5796","Marcella Plunkett"
"5797","Brian Howe"
"5798","James Callis"
"5799","Anton Walbrook"
"5800","Tao Okamoto"
"5801","Tim Meadows"
"5802","Attila Borlan"
"5803","Barbara Jefford"
"5804","Yvette McClendon"
"5805","Shayn Bjornholm"
"5806","Loral Langemeier"
"5807","Hugh Mitchell"
"5808","Giovanni Arcuri"
"5809","Reem Abdullah"
